,CompoundScore,NegativeScore,NeutralScore,NewsOutlet,PositiveScore,Timestamp,Tweet,TweetAgo
0,-0.296,0.136,0.864,BBC,0.0,2018-03-23 01:03:04 PM,From @taylorswift13 to @Beyonce: these are the secretive musicians who avoid interviews. ?? https://t.co/nqOmaVMzoo https://t.co/sbDga7L5cp,0
1,0.0,0.0,1.0,BBC,0.0,2018-03-23 02:07:00 PM,"RT @BBCOne: .@GaryLineker, @OreOduba, @ThisisDavina &amp; more kick off the biggest ever night of #SportRelief now on @bbcone. @sportrelief 
Fo…",1
2,0.3182,0.0,0.777,BBC,0.223,2018-03-24 01:02:01 PM,"?? @RomeshRanga is NOT a fan of Gogglebox. #LiveAtTheApollo
https://t.co/FHm9g6Emss",2
3,0.5719,0.0,0.748,BBC,0.252,2018-03-24 01:44:04 PM,Cambridge have won the men's and women's Boat Races. https://t.co/COTzXYuo4N ? ? #BoatRace2018 https://t.co/6SQjF1ToSt,3
4,0.5859,0.0,0.817,BBC,0.183,2018-03-24 02:16:04 PM,"""Beauty is your inside, it's your personality and what shines from beneath."" 

25-year-old rapper Paigey Cakey had… https://t.co/CVGr69Y0oO",4
5,0.4767,0.0,0.866,BBC,0.134,2018-03-24 03:00:11 PM,"The story of the last decade of Picasso's life, through the words of family and friends. ?

Picasso's Last Stand |… https://t.co/RyiuI8KgSk",5
6,0.0,0.0,1.0,BBC,0.0,2018-03-24 03:33:02 AM,"Meet Alexandre, one of the only male performers of ‘baladi’ – also known as belly dancing – in the Middle East. ?

 https://t.co/K12N1Y6PU7",6
7,-0.3818,0.115,0.885,BBC,0.0,2018-03-24 03:34:01 PM,"""I still see people screaming for help.""

This Sunday at 9pm on @BBCTwo, @REGYATES meets the people whose lives wer… https://t.co/RS16yXF17H",7
8,0.0,0.0,1.0,BBC,0.0,2018-03-24 04:30:13 AM,?A Cultural history of the avocado: https://t.co/jo1UyWlVw7 https://t.co/7VF6pBpG57,8
9,0.128,0.065,0.85,BBC,0.085,2018-03-24 04:31:26 AM,RT @sportrelief: The nation has joined together for this year's #SportRelief pulling out all the stops to make their steps count. Well done…,9
10,0.4995,0.0,0.867,BBC,0.133,2018-03-24 04:31:30 AM,"RT @sportrelief: A humongous THANK YOU to everyone who has taken part, fund-raised &amp; watched over the past weeks &amp; tonight. The #SportRelie…",10
11,0.0,0.0,1.0,BBC,0.0,2018-03-24 04:32:59 AM,"RT @bbcf1: Lewis Hamilton took the first pole of the season in spectacular style ??

https://t.co/a7YDOx0FlQ",11
12,0.0,0.0,1.0,BBC,0.0,2018-03-24 04:42:34 AM,RT @BBCNewsNI: Prince Harry and Meghan Markle are visiting Northern Ireland https://t.co/ODxLd1LIr8 https://t.co/s0zPTXj3Tk,12
13,0.5411,0.0,0.857,BBC,0.143,2018-03-24 05:03:01 AM,"""The enthusiastic viewer should feel he is almost the man on the spot!"" 

In 1949, the BBC announced it would telev… https://t.co/WEoPpkrW1V",13
14,0.4215,0.0,0.833,BBC,0.167,2018-03-24 05:31:01 AM,"Meet Hester, the 10-year-old visually impaired skier who's hoping for Paralympic gold one day. ??https://t.co/6aiUaTc3yS",14
15,0.0,0.0,1.0,BBC,0.0,2018-03-24 06:29:04 AM,"How much do you know about horses? Take this quiz to see if you are an equestrian expert…?

https://t.co/ChGCB9Xi1W https://t.co/P9UgJ99nsx",15
16,0.1867,0.0,0.902,BBC,0.098,2018-03-24 07:33:04 AM,"Don't miss the highlights from the Gymnastics World Cup! ???????

World Cup Gymnastics | @BBCOne | 2:05pm |… https://t.co/7mpufyeEMo",16
17,0.0,0.0,1.0,BBC,0.0,2018-03-24 08:03:01 AM,"Which animals are likely to become extinct in your lifetime? ??
https://t.co/9KwlmcNrWV",17
18,0.296,0.0,0.845,BBC,0.155,2018-03-24 09:01:32 AM,RT @bbcthree: The barber helping men with dementia relive their younger lives. https://t.co/p8axQVK836,18
19,0.0,0.0,1.0,BBC,0.0,2018-03-24 09:01:47 AM,? @clarebalding is live from the River Thames as @UniofOxford and @Cambridge_Uni  meet for one of the most iconic e… https://t.co/Ls9rtIYov4,19
20,-0.0772,0.15,0.719,BBC,0.131,2018-03-24 10:00:06 AM,?How an Instagram video lost me my dream job in fashion: https://t.co/72yWgHdc1k https://t.co/fl3DxMcIL5,20
21,0.2732,0.083,0.788,BBC,0.129,2018-03-24 10:30:10 AM,"Writer Sara Maitland has lived alone in rural Scotland for 20 years. 

Here are seven valuable life lessons we can… https://t.co/2eAqUlnwuA",21
22,0.0,0.0,1.0,BBC,0.0,2018-03-24 12:01:01 PM,"When proposals go wrong... ?? #Doodlebugs 
https://t.co/8Yi6giWO3S",22
23,0.0,0.0,1.0,BBC,0.0,2018-03-25 01:13:03 PM,The first ever statue of David Bowie has been unveiled in the town where he debuted Ziggy Stardust. ??… https://t.co/lFgROYVkv1,23
24,0.5719,0.0,0.837,BBC,0.163,2018-03-25 01:40:04 PM,"Tonight, @mcgregor_ewan and @McgColin celebrate the centenary of the Royal Air Force. 

RAF at 100 with Ewan and Co… https://t.co/nF2iwBP51b",24
25,-0.4215,0.141,0.859,BBC,0.0,2018-03-25 02:02:00 AM,When the clocks have gone forward but there's no way you're getting out of bed yet. ?????#DaylightSavings https://t.co/cHBPV3ITsQ,25
26,-0.7506,0.286,0.714,BBC,0.0,2018-03-25 02:15:06 PM,"Tonight, @regyates meets people whose lives have been devastated by the Grenfell fire. 

Reggie Yates: Searching fo… https://t.co/HPgtcZuHte",26
27,0.0,0.0,1.0,BBC,0.0,2018-03-25 02:34:02 AM,You learn something new every day. Here's how to poo a baby jaguar. ??#BigCatsAboutTheHouse https://t.co/Eg5rF1414b,27
28,0.128,0.077,0.821,BBC,0.101,2018-03-25 02:44:01 PM,"Could this be an answer to global water shortages? ?? This machine creates water out of thin air. 

https://t.co/caz4nXMJg5",28
29,-0.25,0.153,0.743,BBC,0.104,2018-03-25 03:00:12 AM,A woman who drinks 30 cans a day says her addiction to energy drinks is worse than gambling.… https://t.co/d11ATW0F0f,29
30,0.0,0.0,1.0,BBC,0.0,2018-03-25 03:43:22 AM,RT @BBCSport: A simply astonishing confession from Australia captain Steve Smith and batsman Cameron Bancroft ? https://t.co/YaE7fBZamq,30
31,-0.4019,0.101,0.899,BBC,0.0,2018-03-25 03:43:26 AM,"RT @bbcweather: #Winter may not be done with us yet, as colder continental air fights back against milder maritime air across the UK this w…",31
32,0.5719,0.0,0.764,BBC,0.236,2018-03-25 03:43:31 AM,"RT @BBCScotland: Up your brunch game with perfect poached eggs.

via @bbcthesocial https://t.co/1imXNeOZ9d",32
33,-0.3612,0.161,0.839,BBC,0.0,2018-03-25 04:30:15 AM,"Ever wondered what made you feel moody? It might be your gut.

? https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn",33
34,0.0,0.0,1.0,BBC,0.0,2018-03-25 05:30:04 AM,?Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf,34
35,0.0,0.0,1.0,BBC,0.0,2018-03-25 07:03:02 AM,"Weighing just 100g, a newborn panda is one 900th the size of its mum! ?? #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs",35
36,0.5574,0.0,0.816,BBC,0.184,2018-03-25 08:03:04 AM,"??? @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz",36
37,0.1779,0.0,0.909,BBC,0.091,2018-03-25 09:09:03 AM,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ????… https://t.co/uKD9BQWmUi",37
38,0.0,0.0,1.0,BBC,0.0,2018-03-25 09:30:02 AM,"? We could listen to him speak all day. 

? Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13",38
39,0.4588,0.0,0.833,BBC,0.167,2018-03-25 10:03:03 AM,"????? Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ",39
40,0.5267,0.0,0.815,BBC,0.185,2018-03-25 12:30:07 PM,"When you're enjoying being single and people just can't deal with it. ?? @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",40
